Protein	dim1
362663.ECP_3630	266
362663.ECP_3633	267
362663.ECP_3551	268
362663.ECP_3548	269
362663.ECP_3553	270
362663.ECP_1261	271
362663.ECP_3547	272
362663.ECP_4298	273
362663.ECP_4562	274
362663.ECP_4563	275
362663.ECP_3549	276
362663.ECP_3550	277
362663.ECP_4564	278
362663.ECP_4671	279
362663.ECP_4297	280
362663.ECP_3637	281
362663.ECP_3773	282
362663.ECP_0954	283
362663.ECP_1262	284
362663.ECP_3774	285
362663.ECP_0374	286
362663.ECP_0375	287
362663.ECP_4322	288
362663.ECP_4321	289
362663.ECP_3772	290
362663.ECP_4561	291
362663.ECP_4323	292
362663.ECP_0376	293
362663.ECP_3671	294
362663.ECP_4560	295
362663.ECP_4670	296
362663.ECP_3670	297
362663.ECP_3948	298
362663.ECP_3669	299
362663.ECP_3763	300
362663.ECP_0953	301
362663.ECP_4786	302
362663.ECP_1155	303
362663.ECP_3344	304
362663.ECP_3346	305
362663.ECP_3951	306
362663.ECP_3345	307
362663.ECP_4785	308
362663.ECP_4784	309
362663.ECP_1154	310
362663.ECP_1036	311
362663.ECP_3947	312
362663.ECP_2837	313
362663.ECP_2838	314
362663.ECP_3762	315
362663.ECP_1035	316
362663.ECP_1031	317
362663.ECP_1034	318
362663.ECP_4441	319
362663.ECP_4440	320
362663.ECP_4438	321
362663.ECP_4437	322
362663.ECP_4380	323
362663.ECP_4439	324
362663.ECP_3193	325
362663.ECP_4436	326
362663.ECP_3194	327
362663.ECP_3196	328
362663.ECP_1029	329
362663.ECP_1030	330
362663.ECP_1032	331
362663.ECP_3685	332
362663.ECP_1577	333
362663.ECP_1573	334
362663.ECP_1572	335
362663.ECP_4442	336
362663.ECP_3687	337
362663.ECP_4381	338
362663.ECP_1576	339
362663.ECP_4295	340
362663.ECP_4296	341
362663.ECP_3195	342
362663.ECP_3686	343
362663.ECP_3688	344
362663.ECP_4443	345
362663.ECP_0062	346
362663.ECP_0064	347
362663.ECP_2010	348
362663.ECP_2011	349
362663.ECP_4612	350
362663.ECP_4282	351
362663.ECP_4611	352
362663.ECP_1578	353
362663.ECP_0426	354
362663.ECP_1574	355
362663.ECP_1575	356
362663.ECP_3189	357
362663.ECP_3305	358
362663.ECP_3307	359
362663.ECP_0063	360
362663.ECP_3129	361
362663.ECP_1450	362
362663.ECP_4281	363
362663.ECP_3186	364
362663.ECP_3872	365
362663.ECP_3873	366
362663.ECP_3128	367
362663.ECP_3874	368
362663.ECP_3875	369
362663.ECP_1449	370
362663.ECP_0717	371
362663.ECP_0712	372
362663.ECP_0716	373
362663.ECP_0715	374
362663.ECP_0425	375
362663.ECP_3304	376
362663.ECP_3216	377
362663.ECP_2768	378
362663.ECP_2770	379
362663.ECP_3366	380
362663.ECP_3365	381
362663.ECP_3754	382
362663.ECP_3217	383
362663.ECP_2769	384
362663.ECP_3218	385
362663.ECP_3363	386
362663.ECP_3364	387
362663.ECP_4043	388
362663.ECP_2263	389
362663.ECP_3227	390
362663.ECP_3226	391
362663.ECP_3230	392
362663.ECP_0934	393
362663.ECP_2262	394
362663.ECP_2558	395
362663.ECP_0932	396
362663.ECP_0933	397
362663.ECP_4041	398
362663.ECP_2557	399
362663.ECP_3223	400
362663.ECP_3224	401
362663.ECP_3233	402
362663.ECP_3225	403
362663.ECP_3232	404
362663.ECP_3231	405
362663.ECP_0935	406
362663.ECP_2556	407
362663.ECP_3113	408
362663.ECP_3112	409
362663.ECP_3667	410
362663.ECP_2134	411
362663.ECP_0967	412
